Symbol,Date,Adj Close
AAPL,9/29/2017,150.072464
AAPL,6/3/2010,32.928665
MSFT,10/5/2015,43.002285
AAPL,5/7/2010,29.517174
AAPL,11/11/2016,104.284943
IBM,8/1/2011,139.269989
MSFT,2/22/2018,89.874702
AAPL,12/19/2016,112.181091
MSFT,2/5/2010,22.203266
IBM,9/11/2009,88.108047
MSFT,4/3/2018,87.895538
AAPL,11/23/2015,110.783813
IBM,12/30/2009,99.389305
MSFT,10/23/2017,76.490349
MSFT,4/6/2015,37.82069
MSFT,8/31/2010,18.869207
IBM,5/9/2016,130.246368
IBM,3/9/2015,133.556549
IBM,7/6/2010,93.449966
MSFT,1/22/2014,31.608477
IBM,9/17/2014,157.967972
AAPL,6/8/2009,18.002392
AAPL,9/19/2017,154.561386
MSFT,1/6/2015,41.25906
MSFT,7/20/2011,22.162842
AAPL,1/19/2016,90.941513
AAPL,9/26/2018,217.876511
AAPL,5/29/2012,71.617897
AAPL,8/6/2009,20.512846
IBM,11/28/2012,151.675323
IBM,6/20/2014,147.875946
MSFT,12/10/2012,23.003691
MSFT,5/8/2012,25.493986
AAPL,3/15/2012,73.281075
IBM,3/18/2010,96.67849
IBM,10/23/2017,147.640518
IBM,4/15/2010,98.56868
IBM,11/10/2017,139.40567
MSFT,4/22/2010,24.98999
MSFT,11/28/2012,23.362326
MSFT,5/26/2015,42.683933
IBM,5/19/2015,146.324402
IBM,10/17/2012,157.818619
MSFT,8/30/2011,21.618643
MSFT,7/14/2010,20.344505
IBM,4/23/2013,152.020187
IBM,8/1/2014,154.066254
AAPL,1/17/2018,175.023361
AAPL,6/17/2016,90.725914
IBM,11/3/2016,135.856079
AAPL,5/20/2010,29.754946
AAPL,7/5/2011,43.730106
MSFT,3/7/2017,61.803211
MSFT,3/20/2012,26.739428
AAPL,7/17/2013,55.008579
IBM,9/13/2012,162.325928
AAPL,1/16/2014,71.736649
MSFT,7/18/2018,103.440285
IBM,11/12/2015,114.207527
IBM,11/28/2011,141.57309
IBM,7/30/2014,158.016693
IBM,12/12/2011,149.319565
IBM,8/19/2015,130.920959
IBM,5/28/2013,165.621872
MSFT,10/12/2015,43.343502
MSFT,9/23/2016,54.414532
MSFT,9/25/2017,71.085655
IBM,10/15/2018,136.133118
IBM,5/17/2017,138.20372
IBM,4/6/2015,134.611588
IBM,10/26/2009,89.645561
IBM,5/30/2018,136.09996
AAPL,7/19/2013,54.323383
AAPL,12/2/2013,71.345749
IBM,3/18/2013,169.157257
AAPL,2/10/2010,24.418684
AAPL,3/5/2015,117.400566
AAPL,4/23/2010,33.893559
MSFT,4/27/2012,26.731071
MSFT,10/19/2012,24.255981
MSFT,5/3/2013,28.833414
MSFT,12/30/2009,24.532942
IBM,2/29/2012,153.450012
IBM,8/20/2018,141.322617
IBM,1/18/2011,115.105042
IBM,12/16/2011,142.629807
MSFT,12/31/2018,100.765076
IBM,8/25/2010,95.289825
MSFT,3/2/2016,49.512703
AAPL,7/28/2015,115.065125
AAPL,12/15/2011,47.423199
IBM,4/28/2009,75.337448
MSFT,5/14/2014,35.917152
AAPL,4/26/2012,76.051834
MSFT,10/27/2011,22.45932
MSFT,1/4/2010,24.525019
IBM,9/18/2017,133.760147
IBM,3/3/2010,95.548859
IBM,1/15/2009,61.831436
MSFT,7/23/2015,42.244175
IBM,9/14/2016,137.354004
IBM,8/13/2015,131.882004
IBM,8/18/2016,143.871765
AAPL,7/1/2011,42.957966
MSFT,5/16/2013,29.547127
AAPL,8/13/2012,79.181114
AAPL,6/5/2012,70.436493
MSFT,5/28/2015,43.471828
AAPL,10/27/2010,38.523998
MSFT,9/13/2018,111.533379
MSFT,11/15/2012,22.764605
IBM,10/20/2017,149.972382
AAPL,9/14/2018,221.25705
MSFT,3/1/2011,21.286194
AAPL,8/25/2011,46.769939
MSFT,1/28/2014,31.907589
IBM,2/6/2009,71.051025
IBM,8/8/2012,156.560028
MSFT,5/25/2016,49.077465
MSFT,10/1/2013,29.318779
IBM,7/26/2012,151.915436
AAPL,3/1/2016,95.095795
MSFT,11/7/2016,57.24754
AAPL,10/6/2016,108.9767
AAPL,2/17/2015,118.71933
